name,relation,side,amount,paymentMethod,mealTickets,memo,date
이수진,친구,bride,100000,cash,2,,2026-04-13T10:05:00
박지연,친구,bride,50000,cash,1,,2026-04-13T10:08:00
최유나,친구,bride,100000,cash,2,,2026-04-13T10:11:00
정하은,친구,bride,50000,cash,1,,2026-04-13T10:14:00
한소희,친구,bride,100000,transfer,0,,2026-04-13T10:17:00
오민지,친구,bride,50000,cash,2,,2026-04-13T10:20:00
강예린,친구,bride,100000,cash,2,,2026-04-13T10:24:00
윤서아,친구,bride,30000,cash,1,,2026-04-13T10:27:00
임다은,친구,bride,50000,cash,1,,2026-04-13T10:30:00
서지원,친구,bride,100000,cash,2,초등 동창,2026-04-13T10:33:00
장미란,친구,bride,50000,transfer,0,,2026-04-13T10:36:00
권나영,친구,bride,100000,cash,2,대학동기,2026-04-13T10:40:00
남수현,직장 동료,bride,50000,cash,1,,2026-04-13T10:43:00
배유진,직장 동료,bride,100000,cash,2,,2026-04-13T10:46:00
문정아,직장 동료,bride,50000,cash,1,,2026-04-13T10:50:00
황지혜,직장 동료,bride,100000,transfer,0,,2026-04-13T10:53:00
조은비,직장 동료,bride,50000,cash,2,,2026-04-13T10:56:00
류하영,직장 동료,bride,100000,cash,2,팀장님,2026-04-13T11:00:00
신보라,직장 동료,bride,30000,cash,1,,2026-04-13T11:03:00
김태희,직장 동료,bride,50000,cash,1,,2026-04-13T11:06:00
이영자,직장 동료,bride,100000,cash,2,부서장님,2026-04-13T11:10:00
박경미,친척,bride,200000,cash,3,큰이모,2026-04-13T11:15:00
이정숙,친척,bride,100000,cash,2,작은이모,2026-04-13T11:18:00
이한솔,친척,bride,300000,cash,4,외삼촌,2026-04-13T11:22:00
이미영,친척,bride,100000,cash,2,고모,2026-04-13T11:25:00
이성호,친척,bride,500000,transfer,0,큰외삼촌,2026-04-13T11:28:00
이도연,친척,bride,50000,cash,1,사촌언니,2026-04-13T11:31:00
이현주,친척,bride,200000,cash,3,큰고모,2026-04-13T11:35:00
이준서,친척,bride,100000,cash,2,외사촌,2026-04-13T11:38:00
김옥순,기타,bride,100000,cash,2,어머니 지인,2026-04-13T11:42:00
박명희,기타,bride,50000,cash,1,어머니 직장동료,2026-04-13T11:45:00
정순자,기타,bride,50000,cash,2,동네 어른,2026-04-13T11:48:00
송영희,기타,bride,30000,cash,1,,2026-04-13T11:52:00
양서연,친구,bride,50000,cash,1,,2026-04-13T11:55:00
구혜원,친구,bride,100000,cash,2,,2026-04-13T11:58:00
