name,relation,side,amount,paymentMethod,mealTickets,memo,date
김민수,친구,groom,100000,cash,2,,2026-04-13T10:05:00
박준혁,친구,groom,50000,cash,1,,2026-04-13T10:08:00
이동현,친구,groom,100000,cash,2,,2026-04-13T10:12:00
정우성,친구,groom,50000,cash,1,,2026-04-13T10:15:00
최영호,친구,groom,70000,cash,2,,2026-04-13T10:18:00
한상우,친구,groom,100000,transfer,0,,2026-04-13T10:22:00
오세진,친구,groom,50000,cash,1,,2026-04-13T10:25:00
강태민,친구,groom,100000,cash,2,,2026-04-13T10:30:00
윤재호,친구,groom,30000,cash,1,,2026-04-13T10:33:00
임현우,친구,groom,50000,cash,1,,2026-04-13T10:36:00
서동욱,직장 동료,groom,50000,cash,1,,2026-04-13T10:40:00
장민석,직장 동료,groom,100000,transfer,0,,2026-04-13T10:43:00
권혁준,직장 동료,groom,50000,cash,2,,2026-04-13T10:46:00
남궁현,직장 동료,groom,100000,cash,2,,2026-04-13T10:50:00
배성훈,직장 동료,groom,50000,cash,1,,2026-04-13T10:53:00
문재원,직장 동료,groom,50000,transfer,0,,2026-04-13T10:56:00
황인호,직장 동료,groom,100000,cash,2,팀장님,2026-04-13T11:00:00
조기현,직장 동료,groom,30000,cash,1,,2026-04-13T11:03:00
류승환,직장 동료,groom,50000,cash,1,,2026-04-13T11:06:00
신동민,직장 동료,groom,100000,cash,2,부서장님,2026-04-13T11:10:00
김대호,친척,groom,200000,cash,3,큰삼촌,2026-04-13T11:15:00
김소영,친척,groom,100000,cash,2,고모,2026-04-13T11:18:00
김정훈,친척,groom,300000,cash,4,작은아버지,2026-04-13T11:22:00
김미경,친척,groom,100000,cash,2,이모,2026-04-13T11:25:00
김태수,친척,groom,500000,transfer,0,큰아버지,2026-04-13T11:28:00
김현지,친척,groom,50000,cash,1,사촌동생,2026-04-13T11:31:00
김도윤,친척,groom,100000,cash,2,외삼촌,2026-04-13T11:35:00
김하늘,친척,groom,200000,cash,3,큰이모,2026-04-13T11:38:00
박영수,기타,groom,50000,cash,2,아버지 지인,2026-04-13T11:42:00
이만호,기타,groom,100000,cash,2,아버지 직장동료,2026-04-13T11:45:00
정기영,기타,groom,50000,cash,1,동네 어른,2026-04-13T11:48:00
홍길동,기타,groom,30000,cash,1,,2026-04-13T11:52:00
송민정,친구,groom,50000,transfer,0,,2026-04-13T11:55:00
양현석,친구,groom,100000,cash,2,,2026-04-13T11:58:00
구본성,친구,groom,50000,cash,1,,2026-04-13T12:02:00
노재훈,친구,groom,100000,cash,2,대학동기,2026-04-13T12:05:00
하승진,친구,groom,50000,cash,1,,2026-04-13T12:08:00
전상민,직장 동료,groom,50000,cash,2,,2026-04-13T12:12:00
안수현,직장 동료,groom,100000,transfer,0,전 직장,2026-04-13T12:15:00
우진혁,기타,groom,200000,cash,3,은사님,2026-04-13T12:20:00
